time_s,sensor,sweep,basestation,polynomial,lfsr_location
1777473039.9498818,2,0,4,9,54645
1777473039.956325,2,0,10,20,62598
1777473039.962513,2,1,4,9,92812
1777473039.9653733,2,1,10,20,26367
1777473040.0613246,2,0,4,9,54646
1777473040.067131,2,0,10,20,62602
1777473040.0728436,2,1,4,9,92813
1777473040.0761087,2,1,10,20,25969
1777473040.1573818,2,0,4,8,54647
1777473040.1628137,2,0,10,20,62597
1777473040.1683905,2,1,4,8,92829
1777473040.1722486,2,1,10,20,25966
1777473040.2627375,2,0,4,8,54650
1777473040.2677836,2,0,10,20,62598
1777473040.2753627,2,1,4,8,92831
1777473040.2789884,2,1,10,20,25966
1777473040.363426,2,0,4,8,54648
1777473040.3693216,2,0,10,20,62598
1777473040.3758984,2,1,4,8,92830
1777473040.3790662,2,1,10,20,26367
1777473040.465135,2,0,4,8,54646
1777473040.471059,2,0,10,20,62602
1777473040.4782534,2,1,4,8,92397
1777473040.4813807,2,1,10,20,26367
1777473040.572448,2,0,4,8,54647
1777473040.578728,2,0,10,21,61948
1777473040.5843592,2,1,4,8,92831
1777473040.5873907,2,1,10,21,26374
1777473040.6754484,2,0,4,9,54645
1777473040.6804657,2,0,10,20,62596
1777473040.6858685,2,1,4,8,92831
1777473040.6894348,2,1,10,20,25964
1777473040.7794464,2,0,4,9,54646
1777473040.7840252,2,0,10,21,62591
1777473040.790643,2,1,4,9,92813
1777473040.7938578,2,1,10,21,26372
1777473040.8781197,2,0,4,8,54279
1777473040.8840415,2,0,10,20,62593
1777473040.8913789,2,1,4,8,92833
1777473040.8949397,2,1,10,20,25961
1777473040.981461,2,0,4,9,54657
1777473040.986365,2,0,10,20,62590
1777473040.9926164,2,1,4,9,92826
1777473040.996177,2,1,10,20,25957
1777473041.088352,2,0,4,8,54657
1777473041.09428,2,0,10,21,61926
1777473041.0996425,2,1,4,9,92821
1777473041.1024737,2,1,10,21,26351
1777473041.18796,2,0,4,9,54668
1777473041.1944304,2,0,10,21,62580
1777473041.2020516,2,1,4,9,92827
1777473041.2054808,2,1,10,21,26351
1777473041.2885602,2,0,4,8,54280
1777473041.2934942,2,0,10,21,62581
1777473041.298849,2,1,4,9,92826
1777473041.3015933,2,1,10,21,26351
1777473041.395643,2,0,4,9,54666
1777473041.4001522,2,0,10,20,62584
1777473041.4075549,2,1,4,8,92836
1777473041.4285903,2,1,10,20,26347
1777473041.4962578,2,0,4,8,54657
1777473041.5019908,2,0,10,21,62584
1777473041.5083718,2,1,4,8,92847
1777473041.5128329,2,1,10,21,26353
1777473041.6020575,2,0,4,8,54657
1777473041.6089244,2,0,10,20,62585
1777473041.615168,2,1,4,8,92843
1777473041.6182532,2,1,10,21,25954
1777473041.699566,2,0,4,8,54653
1777473041.7043169,2,0,10,21,62583
1777473041.709692,2,1,4,8,92839
1777473041.7114408,2,1,10,21,26353
1777473041.8038113,2,0,4,9,54659
1777473041.8096948,2,0,10,20,62587
1777473041.8149283,2,1,4,9,92821
1777473041.8178754,2,1,10,20,25956
1777473041.9062846,2,0,4,9,54663
1777473041.9123855,2,0,10,20,62588
1777473041.9182608,2,1,4,9,92404
1777473041.9220765,2,1,10,20,26357
1777473042.0099387,2,0,4,9,54272
1777473042.014624,2,0,10,20,62589
1777473042.02019,2,1,4,9,92403
1777473042.0250967,2,1,10,20,25956
1777473042.1104884,2,0,4,9,54666
1777473042.1150987,2,0,10,20,62589
1777473042.123206,2,1,4,9,92405
1777473042.128439,2,1,10,21,25955
1777473042.2164807,2,0,4,8,54653
1777473042.2230105,2,0,10,20,62588
1777473042.2298043,2,1,4,8,92838
1777473042.2326574,2,1,10,20,26358
1777473042.3178704,2,0,4,9,54275
1777473042.3235078,2,0,10,20,62589
1777473042.3300292,2,1,4,9,92815
1777473042.3330657,2,1,10,20,26360
1777473042.4213731,2,0,4,9,54666
1777473042.4266026,2,0,10,21,61926
1777473042.431961,2,1,4,9,92820
1777473042.4350889,2,1,10,21,26352
1777473042.5293796,2,0,4,9,54666
1777473042.5354025,2,0,10,21,61927
1777473042.5415828,2,1,4,9,92821
1777473042.5457866,2,1,10,21,26360
1777473042.628428,2,0,4,9,54666
1777473042.6357758,2,0,10,20,62589
1777473042.6426473,2,1,4,9,92815
1777473042.6465168,2,1,10,21,25958
1777473042.7269673,2,0,4,8,54652
1777473042.7306519,2,0,10,21,62586
1777473042.7348893,2,1,4,8,92843
1777473042.736681,2,1,10,21,26353
1777473042.8258529,2,0,4,8,54655
1777473042.828394,2,0,10,21,62589
1777473042.8315496,2,1,4,8,92406
1777473042.8331187,2,1,10,21,25957
1777473042.9384193,2,0,4,9,54663
1777473042.943612,2,0,10,21,62587
1777473042.949707,2,1,4,9,92815
1777473042.9530184,2,1,10,20,25956
1777473043.0420613,2,0,4,9,54272
1777473043.0468686,2,0,10,21,61927
1777473043.0534365,2,1,4,8,92843
1777473043.0582664,2,1,10,21,26352
1777473043.145956,2,0,4,9,54274
1777473043.151131,2,0,10,21,62586
1777473043.160699,2,1,4,9,92826
1777473043.1631997,2,1,10,20,25956
1777473043.2459378,2,0,4,8,54657
1777473043.2520676,2,0,10,20,62588
1777473043.2590792,2,1,4,8,92843
1777473043.2624166,2,1,10,20,25956
1777473043.3494558,2,0,4,8,54653
1777473043.3551564,2,0,10,21,62586
1777473043.3616762,2,1,4,9,92410
1777473043.3647883,2,1,10,21,26352
1777473043.4523706,2,0,4,8,54653
1777473043.4574628,2,0,10,20,62587
1777473043.46332,2,1,4,8,92403
1777473043.465922,2,1,10,21,25955
1777473043.5553749,2,0,4,8,54655
1777473043.559543,2,0,10,20,62589
1777473043.5658174,2,1,4,8,92844
1777473043.5686634,2,1,10,20,26350
1777473043.6585124,2,0,4,8,54279
1777473043.6632352,2,0,10,21,62586
1777473043.6691964,2,1,4,8,92403
1777473043.6738067,2,1,10,21,25956
1777473043.7637606,2,0,4,8,54656
1777473043.7693872,2,0,10,21,62584
1777473043.7762806,2,1,4,8,92833
1777473043.7795157,2,1,10,21,26352
1777473043.8653138,2,0,4,9,54665
1777473043.8696237,2,0,10,20,62586
1777473043.8763611,2,1,4,9,92405
1777473043.8801541,2,1,10,20,26350
1777473043.9586792,2,0,4,9,54666
1777473043.9619377,2,0,10,20,62586
1777473043.9646816,2,1,4,9,92827
1777473043.9668474,2,1,10,20,25954
1777473044.0726707,2,0,4,8,54657
1777473044.0784197,2,0,10,20,62588
1777473044.0847402,2,1,4,8,92843
1777473044.0884118,2,1,10,20,25955
1777473044.1764898,2,0,4,8,54280
1777473044.1812315,2,0,10,20,62587
1777473044.1895633,2,1,4,8,92843
1777473044.1927617,2,1,10,20,25954
1777473044.2765949,2,0,4,8,54655
1777473044.2817152,2,0,10,21,62586
1777473044.287595,2,1,4,8,92844
1777473044.2917056,2,1,10,21,25954
1777473044.3791094,2,0,4,9,54661
1777473044.3845494,2,0,10,21,61943
1777473044.3920975,2,1,4,9,92826
1777473044.3967705,2,1,10,21,25955
1777473044.4826245,2,0,4,8,54279
1777473044.487822,2,0,10,21,62583
1777473044.4949567,2,1,4,8,92405
1777473044.4977362,2,1,10,20,26358
1777473044.591374,2,0,4,9,54275
1777473044.5967274,2,0,10,21,61926
1777473044.6028764,2,1,4,8,92407
1777473044.606846,2,1,10,21,26352
1777473044.6920416,2,0,4,8,54654
1777473044.6968966,2,0,10,20,62583
1777473044.7035077,2,1,4,8,92407
1777473044.7077315,2,1,10,20,26349
1777473044.7938075,2,0,4,8,54657
1777473044.799104,2,0,10,20,62587
1777473044.8062022,2,1,4,8,92844
1777473044.8109744,2,1,10,20,25955
1777473044.8998835,2,0,4,8,54655
1777473044.9057333,2,0,10,21,61943
1777473044.9126906,2,1,4,8,92843
1777473044.9154315,2,1,10,21,25955
1777473044.9999373,2,0,4,9,54277
1777473045.0061889,2,0,10,21,62583
1777473045.0131276,2,1,4,8,92843
1777473045.0161035,2,1,10,21,26351
1777473045.10867,2,0,4,8,54657
1777473045.1139338,2,0,10,21,62584
1777473045.1202636,2,1,4,8,92845
1777473045.1240804,2,1,10,21,26352
1777473045.2064948,2,0,4,9,54666
1777473045.2120507,2,0,10,21,62583
1777473045.2177417,2,1,4,9,92404
1777473045.2207255,2,1,10,21,26353
1777473045.3121583,2,0,4,9,54668
1777473045.317453,2,0,10,21,62584
1777473045.3244364,2,1,4,9,92826
1777473045.3273215,2,1,10,21,25954
1777473045.4148676,2,0,4,8,54277
1777473045.4201746,2,0,10,21,62584
1777473045.4272335,2,1,4,8,92843
1777473045.429934,2,1,10,21,26352
1777473045.5185752,2,0,4,8,54656
1777473045.5245826,2,0,10,20,62587
1777473045.5317678,2,1,4,8,92408
1777473045.534831,2,1,10,20,25954
1777473045.621403,2,0,4,9,54665
1777473045.627871,2,0,10,21,62583
1777473045.6339207,2,1,4,9,92828
1777473045.6371207,2,1,10,21,26352
1777473045.7293434,2,0,4,9,54668
1777473045.7342806,2,0,10,21,61927
1777473045.7417367,2,1,4,9,92829
1777473045.7447665,2,1,10,21,26352
1777473045.827084,2,0,4,8,54279
1777473045.8306499,2,0,10,21,62584
1777473045.8352685,2,1,4,9,92829
1777473045.8371687,2,1,10,20,26358
1777473045.9189656,2,0,4,9,54666
1777473045.9225118,2,0,10,20,62586
1777473045.9278135,2,1,4,9,92825
1777473045.9295008,2,1,10,21,26353
1777473046.0347097,2,0,4,9,54666
1777473046.0405784,2,0,10,20,62585
1777473046.0473595,2,1,4,9,92404
1777473046.0501068,2,1,10,20,26349
1777473046.1336534,2,0,4,9,54666
1777473046.1377635,2,0,10,20,62587
1777473046.1425278,2,1,4,9,92829
1777473046.1445026,2,1,10,20,25955
1777473046.2313907,2,0,4,8,54657
1777473046.2347229,2,0,10,20,62587
1777473046.2383914,2,1,4,8,92838
1777473046.2404408,2,1,10,21,26353
1777473046.3401477,2,0,4,8,54279
1777473046.3443456,2,0,10,20,62587
1777473046.349642,2,1,4,8,92845
1777473046.352389,2,1,10,21,25955
1777473046.4451354,2,0,4,8,54654
1777473046.4502397,2,0,10,20,62586
1777473046.458028,2,1,4,8,92407
1777473046.4605756,2,1,10,20,25954
1777473046.5494416,2,0,4,8,54654
1777473046.555654,2,0,10,20,62587
1777473046.5621715,2,1,4,8,92402
1777473046.5651689,2,1,10,20,25954
1777473046.6538932,2,0,4,8,54657
1777473046.663499,2,0,10,20,62586
1777473046.6694643,2,1,4,8,92845
1777473046.6734383,2,1,10,20,25955
1777473046.7559881,2,0,4,8,54657
1777473046.761172,2,0,10,21,62583
1777473046.7671478,2,1,4,8,92843
1777473046.7704258,2,1,10,21,26353
1777473046.858967,2,0,4,8,54657
1777473046.8639388,2,0,10,20,62586
1777473046.8697162,2,1,4,8,92407
1777473046.8740084,2,1,10,20,26350
1777473046.9615393,2,0,4,8,54656
1777473046.9662905,2,0,10,21,61926
1777473046.9736347,2,1,4,8,92843
1777473046.9768367,2,1,10,21,26353
1777473047.064518,2,0,4,8,54657
1777473047.069075,2,0,10,21,61943
1777473047.078104,2,1,4,8,92845
1777473047.0810862,2,1,10,21,26353
1777473047.168889,2,0,4,9,54668
1777473047.1741443,2,0,10,21,62583
1777473047.1809506,2,1,4,9,92826
1777473047.183997,2,1,10,20,25954
1777473047.2746825,2,0,4,9,54658
1777473047.2789447,2,0,10,21,61912
1777473047.2831519,2,1,4,9,92821
1777473047.2848544,2,1,10,21,25954
1777473047.3749363,2,0,4,8,54279
1777473047.3794851,2,0,10,20,62585
1777473047.385581,2,1,4,8,92844
1777473047.3886712,2,1,10,21,25955
1777473047.47972,2,0,4,8,54657
1777473047.484339,2,0,10,20,61931
1777473047.491903,2,1,4,8,92838
1777473047.4959376,2,1,10,20,26349
1777473047.5846684,2,0,4,9,54663
1777473047.5903947,2,0,10,21,62584
1777473047.5978353,2,1,4,9,92827
1777473047.6008878,2,1,10,21,26352
1777473047.689335,2,0,4,9,54666
1777473047.6952202,2,0,10,21,62584
1777473047.7016206,2,1,4,9,92405
1777473047.7057838,2,1,10,20,26350
1777473047.7887537,2,0,4,8,54656
1777473047.794626,2,0,10,20,62585
1777473047.80065,2,1,4,8,92403
1777473047.803908,2,1,10,20,26349
1777473047.9016192,2,0,4,9,54666
1777473047.906383,2,0,10,20,62585
1777473047.912469,2,1,4,9,92827
1777473047.9150858,2,1,10,20,25954
1777473047.9983926,2,0,4,8,54657
1777473048.0033505,2,0,10,21,62583
1777473048.011003,2,1,4,8,92844
1777473048.0141504,2,1,10,21,26353
1777473048.1004326,2,0,4,8,54279
1777473048.1055605,2,0,10,21,62584
1777473048.1152165,2,1,4,8,92843
1777473048.1180356,2,1,10,21,26353
1777473048.2033088,2,0,4,8,54653
1777473048.2082505,2,0,10,21,62585
1777473048.2147892,2,1,4,8,92408
1777473048.2179086,2,1,10,20,26350
1777473048.3057067,2,0,4,9,54665
1777473048.310526,2,0,10,20,61930
1777473048.3166206,2,1,4,9,92827
1777473048.319451,2,1,10,20,26350
1777473048.4015255,2,0,4,8,54657
1777473048.40445,2,0,10,21,62584
1777473048.4098506,2,1,4,8,92834
1777473048.4127164,2,1,10,20,25954
1777473048.5105722,2,0,4,9,54276
1777473048.5157464,2,0,10,21,62584
1777473048.5225697,2,1,4,9,92829
1777473048.5254903,2,1,10,21,26352
1777473048.612388,2,0,4,8,54280
1777473048.6176713,2,0,10,20,62586
1777473048.624833,2,1,4,8,92409
1777473048.6283026,2,1,10,20,26349
1777473048.7199972,2,0,4,8,54652
1777473048.727004,2,0,10,20,62588
1777473048.7337892,2,1,4,8,92841
1777473048.7367325,2,1,10,20,25955
1777473048.8250773,2,0,4,8,54657
1777473048.8308783,2,0,10,20,61931
1777473048.8371935,2,1,4,8,92844
1777473048.8413494,2,1,10,20,26350
1777473048.9253182,2,0,4,9,54666
1777473048.9327197,2,0,10,21,62583
1777473048.9368987,2,1,4,9,92815
1777473048.9400496,2,1,10,21,26352
1777473049.0200062,2,0,4,9,54664
1777473049.02385,2,0,10,20,62585
1777473049.028326,2,1,4,8,92844
1777473049.0300756,2,1,10,20,26350
1777473049.1291795,2,0,4,9,54668
1777473049.1336443,2,0,10,20,62588
1777473049.1409914,2,1,4,8,92844
1777473049.1443863,2,1,10,20,26360
1777473049.234158,2,0,4,9,54668
1777473049.2399528,2,0,10,20,62587
1777473049.247872,2,1,4,9,92822
1777473049.2512038,2,1,10,21,25955
1777473049.3370564,2,0,4,8,54657
1777473049.3420987,2,0,10,20,62587
1777473049.350593,2,1,4,8,92844
1777473049.3560605,2,1,10,21,26352
1777473049.44022,2,0,4,8,54279
1777473049.4462855,2,0,10,20,62587
1777473049.451912,2,1,4,8,92843
1777473049.454994,2,1,10,20,25955
1777473049.5430017,2,0,4,9,54666
1777473049.5481858,2,0,10,20,62586
1777473049.5543706,2,1,4,9,92405
1777473049.5574913,2,1,10,20,26350
1777473049.6469684,2,0,4,8,54657
1777473049.651999,2,0,10,21,61927
1777473049.6588757,2,1,4,8,92847
1777473049.662251,2,1,10,21,26352
1777473049.7501543,2,0,4,9,54668
1777473049.7567992,2,0,10,20,62584
1777473049.7638283,2,1,4,9,92405
1777473049.7677202,2,1,10,20,26349
1777473049.8549242,2,0,4,9,54666
1777473049.8598185,2,0,10,20,62586
1777473049.865958,2,1,4,9,92821
1777473049.8687994,2,1,10,21,26352
1777473049.9557564,2,0,4,8,54656
1777473049.96223,2,0,10,20,62586
1777473049.9707713,2,1,4,8,92844
1777473049.9743114,2,1,10,20,26349
