0,0,-0.150002,-0.000003,1.900031
1,1,-0.100002,-0.000003,1.900029
2,2,-0.100001,0.049997,1.900029
3,3,-0.150002,0.049997,1.900031
4,0,-0.100001,0.039997,1.950028
5,1,-0.050001,0.039997,1.950027
6,2,-0.050001,0.089997,1.950027
7,3,-0.100001,0.089997,1.950028
8,0,-0.050001,-0.000003,2.000025
9,1,0.000000,-0.000003,2.000024
10,2,0.000000,0.049997,2.000024
11,3,-0.050001,0.049997,2.000026
12,0,0.000000,-0.040003,2.050022
13,1,0.050000,-0.040003,2.050021
14,2,0.050001,0.009997,2.050021
15,3,0.000000,0.009997,2.050023
16,0,0.050000,-0.000003,2.100020
17,1,0.100001,-0.000003,2.100019
18,2,0.100001,0.049997,2.100018
19,3,0.050001,0.049997,2.100020
20,0,0.100001,0.039997,2.050019
21,1,0.150001,0.039997,2.050017
22,2,0.150001,0.089997,2.050017
23,3,0.100001,0.089997,2.050019
24,0,0.150001,-0.000003,2.000018
25,1,0.200002,-0.000003,2.000016
26,2,0.200002,0.049997,2.000016
27,3,0.150001,0.049997,2.000017
28,0,0.200002,-0.040003,1.950017
29,1,0.250002,-0.040003,1.950015
30,2,0.250002,0.009997,1.950015
31,3,0.200002,0.009997,1.950017
0,0,-0.150002,-0.000003,1.900031
1,1,-0.100002,-0.000003,1.900029
2,2,-0.100001,0.049997,1.900029
3,3,-0.150002,0.049997,1.900031
4,0,-0.100001,0.039997,1.950028
5,1,-0.050001,0.039997,1.950027
6,2,-0.050001,0.089997,1.950027
7,3,-0.100001,0.089997,1.950028
8,0,-0.050001,-0.000003,2.000025
9,1,0.000000,-0.000003,2.000024
10,2,0.000000,0.049997,2.000024
11,3,-0.050001,0.049997,2.000026
12,0,0.000000,-0.040003,2.050022
13,1,0.050000,-0.040003,2.050021
14,2,0.050001,0.009997,2.050021
15,3,0.000000,0.009997,2.050023
16,0,0.050000,-0.000003,2.100020
17,1,0.100001,-0.000003,2.100019
18,2,0.100001,0.049997,2.100018
19,3,0.050001,0.049997,2.100020
20,0,0.100001,0.039997,2.050019
21,1,0.150001,0.039997,2.050017
22,2,0.150001,0.089997,2.050017
23,3,0.100001,0.089997,2.050019
24,0,0.150001,-0.000003,2.000018
25,1,0.200002,-0.000003,2.000016
26,2,0.200002,0.049997,2.000016
27,3,0.150001,0.049997,2.000017
28,0,0.200002,-0.040003,1.950017
29,1,0.250002,-0.040003,1.950015
30,2,0.250002,0.009997,1.950015
31,3,0.200002,0.009997,1.950017
